1	227065.6620339954	[125.43718223, 186.3249658, 176.16176788]	[4.75294478, 7.44344825, 10.93511226]	[101.541754, 170.17574681, 39.03679111]	[209.2530771, 13.32858124, 66.01538222]	[38.9243357, 93.56725119, 83.93167035]
2	219804.24418280413	[3.38515618, 4.56525474, 6.4128656]	[0.40686203, 161.02147402, 58.50769551]	[98.93155758, 190.35755845, 203.40397155]	[216.46583052, 77.19595674, 124.79638151]	[32.48099696, 100.47932018, 88.82330362]
3	220649.29113572888	[114.63080499, 186.76189791, 198.19243172]	[7.86891416, 10.4179254, 12.07843626]	[217.22388309, 81.96146281, 119.9736783]	[1.08260331, 154.47253993, 56.30868508]	[185.89171348, 129.04468197, 1.849162]
4	184920.4943728782	[229.82252332, 125.3075718, 0.78296445]	[3.0466095, 3.14741093, 3.63522892]	[244.63327447, 235.5225845, 129.56644334]	[199.44253151, 172.695904, 172.32304013]	[223.0195017, 5.4459947, 31.23649096]
5	185230.31040683322	[2.18364663, 2.68025711, 3.98758807]	[225.8364291, 52.65218203, 31.09636469]	[246.09118328, 235.03749096, 189.23721107]	[238.50197264, 229.09395915, 8.47734934]	[106.37399259, 50.79353051, 41.29675652]
6	194898.4252150087	[14.05207586, 118.07471341, 123.98178881]	[237.6765422, 145.32537735, 2.00247147]	[2.65953477, 3.68983729, 4.83708966]	[248.27350948, 239.25132389, 150.51285855]	[116.64516953, 80.08180811, 22.54691573]
7	212639.37906699406	[131.6302983, 197.87286059, 187.38027504]	[2.52183522, 3.73280178, 5.56252343]	[234.33610509, 217.98754738, 0.41481616]	[188.19667048, 90.91413111, 4.64444519]	[70.91901831, 86.68880632, 73.39910268]
8	198133.5482173072	[131.0192528, 156.80779042, 203.0846044]	[4.50814367, 5.84242193, 7.87494156]	[247.02965665, 240.16045827, 170.67498958]	[170.92155046, 62.83413149, 1.80300038]	[176.55744993, 203.59850747, 223.68463905]
9	219654.8468885751	[93.27453086, 80.58170739, 62.37708646]	[220.87308404, 214.85700465, 152.36578805]	[45.61371199, 137.90784597, 188.10302076]	[3.43710336, 5.27645425, 7.76098177]	[218.10834177, 217.98791576, 216.01397671]
10	227149.75854471992	[225.7028417, 212.23325094, 124.08416856]	[3.381406, 5.13946601, 7.53191941]	[105.41687789, 181.23350939, 87.81011181]	[201.95261974, 76.21168279, 106.6048352]	[88.14434643, 103.52743999, 75.76018362]
11	179749.1463165501	[0.88427894, 1.43513015, 2.08042999]	[110.91072665, 184.86066586, 43.96241054]	[47.71090378, 77.33374326, 32.49671931]	[246.38455688, 246.6306086, 246.85714879]	[93.15578273, 157.56201379, 36.28443951]
12	212066.73346468282	[2.66340416, 4.36428024, 6.7473137]	[236.46615657, 234.82230516, 236.30964705]	[139.26185033, 112.42110158, 156.84112372]	[106.954328, 170.79979978, 181.10843071]	[24.30464655, 62.08785423, 74.45541827]
13	206750.35309630493	[2.52208747, 3.05347003, 4.18053182]	[183.11356671, 158.69315872, 107.36698625]	[217.90221966, 78.51409852, 134.06350742]	[195.06543055, 197.9216019, 193.67275678]	[226.63023081, 196.68253834, 129.80137321]
14	175513.59265737166	[97.46997537, 98.09754629, 32.68193753]	[239.80171046, 231.82467339, 0.91109298]	[1.52929224, 2.26332371, 3.09589062]	[246.19300792, 241.07336493, 159.60357045]	[202.015272, 197.17086936, 3.16744153]
15	216951.77569570777	[4.09904687, 5.15493099, 7.66654269]	[219.50595542, 223.77930797, 229.98134003]	[235.08818418, 179.5893478, 1.18138975]	[224.33021381, 97.73552311, 126.14341389]	[96.76606794, 127.9313998, 158.32093988]
16	208766.56713342931	[229.75825552, 161.29067067, 169.08550219]	[2.54592496, 2.94543826, 4.41440866]	[232.78571981, 224.17868677, 138.15544787]	[142.93275414, 47.49169145, 28.85167703]	[106.18788414, 99.54494142, 79.50907343]
17	196343.82586694873	[4.00904091, 4.04234262, 4.94167191]	[233.0274354, 224.44012313, 139.33601373]	[207.60042932, 74.53643522, 107.74413348]	[177.65322569, 122.10037469, 80.71379958]	[227.31851031, 157.42506012, 0.26190865]
18	196818.44185328658	[232.37292057, 223.82230619, 140.42599085]	[5.21677832, 5.5238396, 6.66132362]	[187.83433788, 125.06134559, 80.8488735]	[227.28616039, 221.7887183, 9.5764651]	[215.55291516, 78.25225287, 111.93004354]
19	202156.96458967158	[1.44591131, 2.15672032, 3.41699177]	[140.60112945, 69.48200939, 146.21727858]	[245.50584961, 239.05400739, 208.22638963]	[158.31815258, 4.41698051, 40.66562353]	[74.11824931, 60.29047654, 77.42278174]
20	183828.4159779243	[194.34970293, 119.8226114, 0.35812789]	[3.00277006, 3.35482636, 4.01594711]	[248.35365137, 234.78570994, 167.85384211]	[165.43268997, 120.21763566, 84.93073214]	[243.4745182, 243.78623431, 243.94215404]
21	208677.4844418379	[216.44561433, 122.26920476, 140.19871143]	[2.58462742, 3.71451619, 5.52115953]	[201.49099785, 109.32940426, 0.54279618]	[242.29020457, 217.98828959, 194.06974104]	[87.24144468, 75.94700214, 71.82511441]
22	207169.05704766113	[0.80313856, 1.06936835, 1.49836326]	[198.47914662, 124.57172974, 64.3164409]	[239.84005147, 212.85007066, 168.8034735]	[234.87995103, 156.39768004, 178.93017323]	[98.45073683, 74.83816705, 56.68609329]
23	217061.6430143214	[2.94135588, 3.76246646, 5.86000398]	[113.03932459, 99.69058954, 162.6158361]	[223.67498309, 218.24499053, 10.18266343]	[220.00993293, 123.80673174, 142.74917461]	[101.14970931, 66.88931556, 12.15117091]
24	215814.20982469668	[33.18294711, 38.5123932, 58.52692137]	[127.91084084, 119.977988, 157.24076194]	[1.69774096, 2.4343291, 3.66396149]	[202.33667246, 81.65698108, 98.02349254]	[228.33069958, 222.90892174, 9.83938614]
25	171052.59638899032	[1.67686019, 2.41762606, 3.49552079]	[253.971086, 222.812339, 0.0867483285]	[224.17135229, 12.29535963, 17.43292152]	[110.81213611, 98.93501228, 17.87963902]	[239.11509754, 239.54821979, 239.98961281]
26	174612.56057696338	[2.13541712, 2.98992264, 4.2118935]	[234.569776, 218.178934, 0.150702349]	[254.36065046, 254.14528279, 253.58320058]	[110.78240861, 92.55652577, 67.38951344]	[240.80859396, 183.55641583, 2.8234898]
27	187411.39576957206	[219.67433, 193.718713, 0.0178876194]	[3.25580359, 4.64682996, 6.39699904]	[235.00239526, 210.24195682, 184.45793869]	[87.0133418, 81.05605735, 30.20327904]	[173.80587921, 154.14968777, 2.60848655]
28	185028.7577716925	[4.44996888, 5.00542662, 5.87069367]	[219.63526636, 193.66829006, 0.24334039]	[146.07773372, 77.84826832, 15.45483581]	[219.70136164, 208.27002865, 197.18870394]	[176.75012987, 156.28161638, 1.97142131]
29	212814.874478186	[210.7768016, 221.43127877, 239.89362243]	[3.37565091, 4.83569385, 7.15545226]	[128.57128347, 90.22130109, 115.89257984]	[100.35280766, 167.8903432, 218.56984199]	[179.17155384, 188.7310703, 205.25630381]
30	224341.38997801146	[75.43110224, 95.17293717, 99.30682301]	[158.06527145, 205.30892211, 202.57162725]	[136.36350882, 82.6765507, 115.36575147]	[2.07818452, 3.17765276, 4.79878298]	[94.3088794, 157.09162997, 204.86544325]
31	218409.79720282037	[1.85587012, 3.00666873, 4.63892751]	[48.1831729, 144.05122514, 196.65520593]	[232.59073611, 219.86065274, 172.68169495]	[99.60525011, 90.32928756, 67.96641227]	[29.62807642, 69.3301519, 94.02970076]
32	218914.914214059	[1.32716306, 1.97918076, 3.04401367]	[199.23707641, 142.57687753, 185.17452592]	[0.46632125, 131.58630333, 139.10531299]	[85.5269433, 68.42531676, 87.96196398]	[151.80606141, 47.26064529, 131.6180244]
33	218074.6529803446	[3.65901897, 4.08087102, 5.88702454]	[194.6926323, 137.98824614, 180.53794628]	[11.77930129, 126.83755935, 133.97997297]	[143.8208495, 49.82589466, 138.6564736]	[218.69360242, 219.31181788, 220.37062298]
34	218196.98408496988	[0.81605421, 137.80678306, 139.42666734]	[1.88724433, 2.87352276, 4.40737675]	[156.59612497, 126.82255707, 177.13869956]	[201.17764615, 201.69916471, 201.96451598]	[71.79710748, 67.2136118, 86.66869934]
35	190400.61225977444	[248.90582854, 218.27211978, 217.289536]	[0.00452688, 0.00207339, 0.00128182]	[212.26078756, 185.58838863, 185.32173971]	[89.24647955, 77.13168921, 63.01612456]	[14.69808242, 20.19739708, 26.80963318]
36	199015.75129260524	[1.48939216, 2.19155195, 3.33330219]	[247.01098857, 198.80263588, 189.94590049]	[209.17623877, 168.63435069, 162.00042334]	[99.76274949, 80.5460487, 82.71883732]	[231.02631644, 147.98612313, 156.97572224]
37	191175.50593677198	[114.80820166, 66.23407902, 47.68519213]	[2.3149217, 2.81703396, 3.94019406]	[236.291411, 128.620792, 0.192811533]	[230.89526591, 127.00307184, 71.19035093]	[241.60100627, 220.36128954, 180.01069767]
38	197808.79414854792	[2.59126581, 3.7416083, 5.31052145]	[254.73740682, 247.72870839, 175.80196925]	[227.58222291, 123.17968444, 6.13027749]	[98.62685581, 95.93596349, 74.13215314]	[217.13831055, 210.43769871, 149.85731668]
39	208200.68940174533	[3.61172801, 5.49020019, 8.37497024]	[241.33663383, 194.89176691, 215.39009368]	[45.19662168, 179.38578111, 167.67901366]	[250.71525949, 251.62023075, 251.61062104]	[112.79152947, 88.2889684, 92.34677813]
40	206050.9729960148	[1.86488705, 2.81992739, 4.30319654]	[241.42746875, 196.39532218, 216.91870383]	[251.97666552, 251.97133765, 252.04360235]	[47.57658167, 179.12612932, 167.60444436]	[104.00440552, 91.19840555, 98.57571443]
41	200967.14625777781	[152.69226549, 142.21411975, 187.34674628]	[5.59431962e-11, 0.0343082401, 0.0343082401]	[0.36119012, 168.8087973, 222.16026174]	[41.1244079, 78.24987741, 103.53525392]	[14.67812519, 20.91589295, 28.26567358]
42	11251376018.272596	[5.94288665e-11, 5.39987999e-11, 3.81041517e-11]	[158.88855046, 148.32655668, 194.0875836]	[0.33352767, 167.33910556, 220.15044057]	[14.26231355, 20.55491864, 27.65169827]	[54.92647237, 80.88207269, 105.94335346]
43	188626.25273178009	[0.105837451, 163.675332, 59.152946]	[14.63710403, 21.44736995, 27.6177497]	[115.94914435, 120.57727397, 180.57021101]	[0.0, 0.0, 0.0]	[8.96362287, 85.55647801, 41.85713453]
44	221112.0330230295	[172.52499737, 97.86779869, 104.59213525]	[3.04011005, 3.82947497, 5.38925459]	[84.68376237, 139.96215581, 182.91891911]	[230.98909887, 125.87063898, 0.47126476]	[218.54040056, 206.22082154, 220.13791378]
45	218756.22017093826	[3.41740402, 3.43725342, 4.80363799]	[227.54270871, 82.68385719, 91.4784856]	[83.19065232, 138.95727224, 181.7536113]	[248.69562198, 213.64586068, 219.66127599]	[207.84932925, 138.94789317, 87.58303531]
