22	207169.057045	[0.80313856 1.06936835 1.49836326] 0.8535777777777778	[198.47914662 124.57172974  64.3164409 ] 0.10043333333333333	[239.84005147 212.85007066 168.8034735 ] 0.01901111111111111	[98.45073683 74.83816705 56.68609329] 0.017766666666666667	[234.87995103 156.39768004 178.93017323] 0.009211111111111111
23	217061.643012	[113.03932459  99.69058954 162.6158361 ] 0.3806555555555556	[2.94135588 3.76246646 5.86000398] 0.5515111111111111	[223.67498309 218.24499053  10.18266343] 0.04951111111111111	[220.00993293 123.80673174 142.74917461] 0.008	[101.14970931  66.88931556  12.15117091] 0.010322222222222222
24	215814.209824	[127.91084084 119.977988   157.24076194] 0.3283111111111111	[1.69774096 2.4343291  3.66396149] 0.5686444444444444	[202.33667246  81.65698108  98.02349254] 0.029655555555555557	[228.33069958 222.90892174   9.83938614] 0.005111111111111111	[33.18294711 38.5123932  58.52692137] 0.06827777777777778
25	171052.596402	[1.67686019 2.41762606 3.49552079] 0.6454666666666666	[2.53971086e+02 2.22812339e+02 8.67483285e-02] 0.3316222222222222	[224.17135229  12.29535963  17.43292152] 0.00998888888888889	[239.11509754 239.54821979 239.98961281] 0.0018333333333333333	[110.81213611  98.93501228  17.87963902] 0.01108888888888889
26	174612.56053	[2.13541712 2.98992264 4.2118935 ] 0.6596777777777778	[240.80859396 183.55641583   2.8234898 ] 0.14216666666666666	[254.36065046 254.14528279 253.58320058] 0.07604444444444444	[110.78240861  92.55652577  67.38951344] 0.05893333333333333	[2.34569776e+02 2.18178934e+02 1.50702349e-01] 0.06317777777777778
27	187411.39575	[235.00239526 210.24195682 184.45793869] 0.10693333333333334	[3.25580359 4.64682996 6.39699904] 0.5818444444444445	[2.19674330e+02 1.93718713e+02 1.78876194e-02] 0.23721111111111112	[87.0133418  81.05605735 30.20327904] 0.02557777777777778	[173.80587921 154.14968777   2.60848655] 0.048433333333333335
28	185028.757774	[146.07773372  77.84826832  15.45483581] 0.1474	[219.63526636 193.66829006   0.24334039] 0.11247777777777777	[4.44996888 5.00542662 5.87069367] 0.6005555555555555	[219.70136164 208.27002865 197.18870394] 0.07596666666666667	[176.75012987 156.28161638   1.97142131] 0.0636
29	212814.874478	[179.17155384 188.7310703  205.25630381] 0.16403333333333334	[3.37565091 4.83569385 7.15545226] 0.4693	[128.57128347  90.22130109 115.89257984] 0.05311111111111111	[210.7768016  221.43127877 239.89362243] 0.28275555555555554	[100.35280766 167.8903432  218.56984199] 0.0308
30	224201.438668	[136.36350882  82.6765507  115.36575147] 0.038011111111111114	[2.16217445 3.28641147 4.91980902] 0.5035888888888889	[158.06527145 205.30892211 202.57162725] 0.4164111111111111	[ 76.75053415  96.7792468  100.84441527] 0.022422222222222222	[ 94.3088794  157.09162997 204.86544325] 0.019566666666666666
31	220834.788553	[ 48.1831729  144.05122514 196.65520593] 0.3373111111111111	[1.87609779 3.02389096 4.64798995] 0.5636222222222222	[236.48165452 224.25352393 175.62392696] 0.05684444444444445	[116.26321967 104.4565762   80.23434604] 0.01878888888888889	[32.02275002 69.0511884  92.64173051] 0.023433333333333334
